"","pd","r"
"1","0.0416327074635774","a"
"2","0.0156504190759733","a"
"3","0.0447337417397648","a"
"4","0.0367650190717541","a"
"5","0.00670100941788405","a"
"6","0.0178545400849544","a"
"7","0.0433523826301098","a"
"8","0.00670306547544897","a"
"9","0.0213757276185788","a"
"10","0.00278977757552639","a"
"11","0.0430917112040334","a"
"12","0.00510011435253546","a"
"13","0.00140170465456322","a"
"14","0.0209785318584181","a"
"15","0.0416521629318595","a"
"16","0.0426342626218684","a"
"17","0.0195613451418467","a"
"18","0.0360462577547878","a"
"19","0.000109788589179516","a"
"20","0.0308471038471907","a"
"21","0.0475198025582358","a"
"22","0.0307051503448747","a"
"23","0.00980633666040376","a"
"24","0.0275915273465216","a"
"25","0.033847304712981","a"
"26","0.0354670248925686","a"
"27","0.014364431228023","a"
"28","0.0315762102371082","a"
"29","0.00383107473608106","a"
"30","0.00353310873033479","a"
"31","0.0242996638524346","a"
"32","0.0068875391734764","a"
"33","0.0356733051128686","a"
"34","0.0355808337801136","a"
"35","0.0474861050024629","a"
"36","0.021098347788211","a"
"37","0.0402729353518225","a"
"38","0.0182056714780629","a"
"39","0.03004176345421","a"
"40","0.0355397907318547","a"
"41","0.00280356054427102","a"
"42","0.00058235403848812","a"
"43","0.00358327758731321","a"
"44","0.00465025438461453","a"
"45","0.0129806584096514","a"
"46","0.0393302485463209","a"
"47","0.0369392468128353","a"
"48","0.0321190417162143","a"
"49","0.0404527187230997","a"
"50","0.0280411909450777","a"
"51","0.0101137246121652","a"
"52","0.0487472647451796","a"
"53","0.0327036630129442","a"
"54","0.0159748708363622","a"
"55","0.048687325778883","a"
"56","0.00590799605706707","a"
"57","0.00736480113118887","a"
"58","0.045190881867893","a"
"59","0.00823292228160426","a"
"60","0.0230095963343047","a"
"61","0.0317858069436625","a"
"62","0.00748913089046255","a"
"63","0.020631613524165","a"
"64","0.0250290505820885","a"
"65","0.00124937340151519","a"
"66","0.0264294149819762","a"
"67","0.00523664451902732","a"
"68","0.0083441173308529","a"
"69","0.0187327593797818","a"
"70","0.0185561014339328","a"
"71","0.0424098910298198","a"
"72","0.0379055297467858","a"
"73","0.00357887109275907","a"
"74","0.0220456369337626","a"
"75","0.0429126336006448","a"
"76","0.0347386904060841","a"
"77","0.00711613693274558","a"
"78","0.034639215900097","a"
"79","0.0269229556666687","a"
"80","0.0197439648793079","a"
"81","0.0240867135231383","a"
"82","0.0248433921835385","a"
